
-------------------- Game Started at Sun_Apr_19_21:03:32_CEST_2015 -------------------- 

 [56 fps]
 [57 fps]
 [57 fps]
 [62 fps]
 [57 fps]
 [57 fps]
 [57 fps]
 [57 fps]
 [58 fps]
 [0 fps] 07:30
 [56 fps] 07:30
 [56 fps] 07:30
 [125 fps] 07:30
 [57 fps] 07:30
 [60 fps] 07:30
 [57 fps] 07:30
 [57 fps] 07:30
 [60 fps] 07:30
 [57 fps] 07:30
 [57 fps] 07:30
 [55 fps] 07:30
 [58 fps] 07:30
 [56 fps] 07:30
 [57 fps] 07:30
 [58 fps] 07:30
 [56 fps] 07:30
 [57 fps] 07:30
 [58 fps] 07:30
 [54 fps] 07:30
 [57 fps] 07:30
 [56 fps] 07:30
 [28 fps] 07:30
 [56 fps] 07:30
 [56 fps] 07:31
 [57 fps] 07:31
 [57 fps] 07:31
 [57 fps] 07:31
 [58 fps] 07:31
 [57 fps] 07:31
 [58 fps] 07:31
 [57 fps] 07:31
 [60 fps] 07:31
 [57 fps] 07:31
 [57 fps] 07:31
 [56 fps] 07:31
 [47 fps] 07:31
 [57 fps] 07:31
 [57 fps] 07:31
 [58 fps] 07:31
 [56 fps] 07:31
 [55 fps] 07:31
 [57 fps] 07:31
 [57 fps] 07:31
 [57 fps] 07:31
 [58 fps] 07:31
 [60 fps] 07:31
 [57 fps] 07:31
 [58 fps] 07:31
 [57 fps] 07:31
 [57 fps] 07:31
 [57 fps] 07:31
 [56 fps] 07:31
 [57 fps] 07:32
 [56 fps] 07:32
 [56 fps] 07:32
 [57 fps] 07:32
 [57 fps] 07:32
 [56 fps] 07:32
 [57 fps] 07:32
 [57 fps] 07:32
 [29 fps] 07:32
 [79 fps] 07:32
 [56 fps] 07:32
 [57 fps] 07:32
 [58 fps] 07:32
 [56 fps] 07:32
 [57 fps] 07:32
 [57 fps] 07:32
 [58 fps] 07:32
 [57 fps] 07:32
 [57 fps] 07:32
 [57 fps] 07:32
 [57 fps] 07:32
 [57 fps] 07:32
 [56 fps] 07:32
 [57 fps] 07:32
 [57 fps] 07:32
 [57 fps] 07:32
 [57 fps] 07:32
 [56 fps] 07:32
 [57 fps] 07:32
 [57 fps] 07:32
 [57 fps] 07:33
 [57 fps] 07:33
 [57 fps] 07:33
 [57 fps] 07:33
 [57 fps] 07:33
 [56 fps] 07:33
 [57 fps] 07:33
 [57 fps] 07:33
 [57 fps] 07:33
 [57 fps] 07:33
 [56 fps] 07:33
 [57 fps] 07:33
 [57 fps] 07:33
 [57 fps] 07:33
 [56 fps] 07:33
 [52 fps] 07:33
 [57 fps] 07:33
 [58 fps] 07:33
 [57 fps] 07:33
 [57 fps] 07:33
 [58 fps] 07:33
 [57 fps] 07:33
 [56 fps] 07:33
 [58 fps] 07:33
 [57 fps] 07:33
 [57 fps] 07:33
 [58 fps] 07:33
 [56 fps] 07:33
 [57 fps] 07:33
 [56 fps] 07:33
 [57 fps] 07:34
 [57 fps] 07:34
 [57 fps] 07:34
 [57 fps] 07:34
 [57 fps] 07:34
 [57 fps] 07:34
 [57 fps] 07:34
 [56 fps] 07:34
 [57 fps] 07:34
 [57 fps] 07:34
 [58 fps] 07:34
 [58 fps] 07:34
 [59 fps] 07:34
 [57 fps] 07:34
 [57 fps] 07:34
 [57 fps] 07:34
 [59 fps] 07:34
 [59 fps] 07:34
 [55 fps] 07:34
 [57 fps] 07:34
 [57 fps] 07:34
 [56 fps] 07:34
 [30 fps] 07:34
 [57 fps] 07:34
 [60 fps] 07:34
 [59 fps] 07:34
 [59 fps] 07:34
 [49 fps] 07:34
 [57 fps] 07:34
 [57 fps] 07:35
 [56 fps] 07:35
 [57 fps] 07:35
 [56 fps] 07:35
 [57 fps] 07:35
 [56 fps] 07:35
 [57 fps] 07:35
 [58 fps] 07:35
 [59 fps] 07:35
 [50 fps] 07:35
 [57 fps] 07:35
 [56 fps] 07:35
 [54 fps] 07:35
 [47 fps] 07:35
 [54 fps] 07:35
 [54 fps] 07:35
 [57 fps] 07:35
 [57 fps] 07:35
 [57 fps] 07:35
 [57 fps] 07:35
 [54 fps] 07:35
 [55 fps] 07:35
 [57 fps] 07:35
 [57 fps] 07:35
 [57 fps] 07:35
 [57 fps] 07:35
 [57 fps] 07:35
 [57 fps] 07:35
 [59 fps] 07:35
 [57 fps] 07:36
 [57 fps] 07:36
 [57 fps] 07:36

Połączenie z serwerem zostało zerwane!
 [3 fps]
 [60 fps]
 [54 fps]
 [54 fps]
 [54 fps]
 [55 fps]
 [54 fps]
 [54 fps]
 [57 fps]
 [58 fps]
 [58 fps]
 [57 fps]
 [54 fps]
 [54 fps]
 [54 fps]
 [54 fps]
 [54 fps]
 [57 fps]
 [59 fps]
 [59 fps]
 [57 fps]
